Initiative,Pillar,Cohort,What,How (mechanic),Channel,Week,Success metric
Performance ads scaling,Bring,T1-T4 (all),Scale paid acquisition with current creative + new variants,Increase budget 25% on best-performing campaigns. New creative test: Naate hook + Tier-2 city dialect-targeting. Ad sets segmented by recency tier.,Meta + Google,W1-W4,CAC <= ₹600 · 8K returners from ads
Retargeting ads (recall creative),Bring,T1 + T2,Bring back churned high-intent users with last-watched-show recall ads,Dynamic creative — pull last 3 watched shows from CMS. Show "New episode of [show]" or "Continue watching [show]" creative. Lookalike from re-acquired users.,Meta retargeting,W1-W4,CTR >= 2.5% · CAC <= ₹500
Push Notification — daily,Bring,T1 + T2 + T3 (app installed),Daily personalised content nudge to drive paywall views,Trigger on cohort + last-watched-genre. Send between 7-9 PM IST. Different creative per dialect. Click events feed downstream CLM filter.,CleverTap PN,W1-W4,15% open rate · 5% click rate
WhatsApp blast,Bring,T1 + T2 + T3,Cohort-targeted WA message with new release / continuation hook,Dialect-creative split: BHO/HAR/RAJ. Image + 2 CTAs (Watch Now + WhatsApp link). Send Sat/Sun morning.,WhatsApp Business,W1-W4,12% click-through · feed RCS/AI call
RCS rollout,Bring,T1 + T2 (clicked PN/WA but didn't convert),Premium creative for users showing intent,Rich creative with video preview. Triggered 24-48h after PN/WA click without conversion. Test with 20% subset W2 then scale.,RCS,W2-W4,Pilot: 8% conversion lift vs WA-only
AI Calls — P2 cohort,Bring,T1 (~24K) + new 6-10 paywall view cohort,Voice-first re-engagement with Naate / new release hook,Vendor delivers calls with branched script. WA link sent post-call. Watched_Naate flag drives opening line. Personalised dialect delivery.,Vani AI vendor,W1-W4,8-12% conversion · CAC <= ₹200
TVOD post-trial-rejection,Convert,All paywall viewers who reject ₹1 trial,Pitch ₹20 movie pass instead of losing user,"User rejects trial → fallback overlay: ""Don't want subscription? Buy this movie ₹20."" Single-content unlock for 48h. Logs purchase for sub upsell remarketing.",In-app,W1-W4,5% of rejectors take TVOD · 10% of TVOD → sub later
Free zone / Freemium experiment,Convert,T2 + T3 (cold paywall rejectors),Seed engagement with free content before pitching,"Curated lighter shows in ""Free Zone"". User watches X min / Y eps free. At climax cliffhanger → dual-CTA overlay. Don't interrupt mid-scene.",In-app,W3-W4,30% reach climax · 8% take TVOD/sub at climax pitch
Comparison paywall A/B,Convert,All paywall views,Side-by-side dual-CTA replaces single-CTA paywall,"Test arm: shows ""₹20 just this movie"" + ""₹199 unlimited"" side-by-side. Control: standard ₹199 paywall. Rolled out at 50% in W2.",Statsig experiment,W2-W4,+10% paywall conversion (combined TVOD + sub)
Multi-pitch on revoke (Seg B),Convert (re-activation hand-off),Trial-revoked users (Seg B 38.8L pool),Show TVOD / Tiered / Trial / Standard sub options on revoke confirmation,Backend fix in progress. Once live: revoke confirmation screen offers 4 paths to re-engage. Default highlight on TVOD.,In-app,W3-W4,12% of revokers click any option · 4% convert
Coin paywall scaling,Convert,Selfie-section viewers + new content,Roll coin paywall from 15% to 50% rollout,Already +1.5% lift at 15%. Scale to 50% in W2. Add coin earning mechanics for sharing/streak (encourages stickiness).,In-app,W2-W4,Coin paywall converts 18% of viewers · 25% buy more coins
